MANZENT,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
5801111001001,1.0,0.1152,0.1104,0.1255,0.1126
5801091002013,1.0,0.0965,0.0890,0.1025,0.1037
5801081003053,1.0,0.1419,0.1379,0.1726,0.1420
5801121006018,1.0,0.1813,0.1488,0.2082,0.2133
5801111004027,1.0,0.0941,0.0858,0.1022,0.0935
5801121004019,1.0,0.0687,0.0528,0.0770,0.0838
5801121004034,1.0,0.1428,0.1176,0.1649,0.1649
5801101002007,1.0,0.0867,0.0784,0.0917,0.0903
5801011001009,1.0,0.1694,0.1618,0.1877,0.1694
5801011004029,1.0,0.1185,0.1015,0.1256,0.1347
5801011004026,1.0,0.1271,0.1121,0.1352,0.1262
5801011005030,1.0,0.0992,0.0935,0.1014,0.0943
5801011005046,1.0,0.1968,0.1773,0.2034,0.2034
5801101003018,1.0,0.1711,0.1659,0.1819,0.1754
5801101003017,1.0,0.2530,0.2185,0.2629,0.2631
5801081002001,1.0,0.1656,0.1529,0.1993,0.1529
5801121005003,1.0,0.2031,0.1892,0.2193,0.2156
5801101003058,1.0,0.1145,0.1101,0.1313,0.1122
5801121001037,1.0,0.1072,0.0958,0.1156,0.1232
5801111001020,1.0,0.1194,0.1012,0.1278,0.1325
5801081005015,1.0,0.1774,0.0744,0.2057,0.0744
5801081004077,1.0,0.1124,0.1041,0.1280,0.1148
5801021003004,1.0,0.0815,0.0732,0.0869,0.0798
5801091004040,1.0,0.0854,0.0760,0.0881,0.0855
5801091005013,1.0,0.1205,0.1103,0.1302,0.1363
5801091005016,1.0,0.1343,0.1176,0.1412,0.1342
5801121005010,1.0,0.0822,0.0731,0.0999,0.1016
5801111002004,1.0,0.1571,0.1424,0.1709,0.1521
5801111002012,1.0,0.1451,0.1218,0.1525,0.1525
5801091006016,1.0,0.1180,0.1122,0.1232,0.1204
5801081004023,1.0,0.1325,0.1206,0.1386,0.1385
5801091006027,1.0,0.1111,0.1059,0.1188,0.1130
5801121004006,1.0,0.1607,0.1439,0.1780,0.1654
5801121007009,1.0,0.1335,0.1231,0.1386,0.1386
5801021004022,1.0,0.1580,0.1340,0.1738,0.1941
5801121007017,1.0,0.0630,0.0512,0.0691,0.0747
5801101002506,1.0,0.0810,0.0689,0.0973,0.0689
5801011004023,1.0,0.1691,0.1435,0.1949,0.1765
5801091006040,1.0,0.1043,0.0972,0.1226,0.1053
5801091001023,1.0,0.1323,0.1141,0.1352,0.1342
5801111002009,1.0,0.0435,0.0357,0.0927,0.0357
5801011004027,1.0,0.1124,0.0966,0.1174,0.1133
5801101005013,1.0,0.1667,0.1488,0.1752,0.1624
5801101003006,1.0,0.2205,0.1928,0.2402,0.2299
5801121001007,1.0,0.1232,0.1068,0.1279,0.1312
5801091004060,1.0,0.1812,0.1662,0.1887,0.1887
5801081005063,1.0,0.1453,0.1313,0.1586,0.1586
5801081002067,1.0,0.1065,0.0959,0.1219,0.1086
5801021005034,1.0,0.0931,0.0773,0.0952,0.0941
5801111004028,1.0,0.0932,0.0800,0.0991,0.0939
5801081001002,1.0,0.0541,0.0465,0.0720,0.0565
5801011004028,1.0,0.1328,0.1139,0.1406,0.1519
5801011001015,1.0,0.1949,0.1846,0.2074,0.1921
5801091001050,1.0,0.0779,0.0720,0.0872,0.0793
5801091005048,1.0,0.1671,0.1482,0.1808,0.1808
5801081004032,1.0,0.1473,0.1272,0.1522,0.1502
5801031001001,1.0,0.1932,0.1657,0.2271,0.2271
5801021004045,1.0,0.2015,0.1839,0.2314,0.2314
5801121004017,1.0,0.0783,0.0722,0.0878,0.0948
5801081001003,1.0,0.0826,0.0719,0.1075,0.0683
5801081001020,1.0,0.1348,0.1279,0.1393,0.1226
5801111004500,1.0,0.1530,0.1264,0.1591,0.1591
5801101001010,1.0,0.2238,0.1932,0.2456,0.2456
5801091006029,1.0,0.1608,0.1394,0.1645,0.1629
5801091004002,1.0,0.0860,0.0775,0.0932,0.0895
5801081004078,1.0,0.1349,0.1143,0.1386,0.1343
5801081004072,1.0,0.0934,0.0792,0.0978,0.0935
5801091004054,1.0,0.0652,0.0527,0.0799,0.0580
5801081005033,1.0,0.1388,0.0953,0.1539,0.0953
5801021003051,1.0,0.0993,0.0854,0.1029,0.1011
5801081005047,1.0,0.1147,0.1045,0.1214,0.1145
5801121001008,1.0,0.0953,0.0877,0.1069,0.1111
5801081003027,1.0,0.1001,0.0984,0.1288,0.0995
5801091003002,1.0,0.1238,0.1210,0.1355,0.1210
5801091003004,1.0,0.1112,0.1039,0.1149,0.1149
5801081004050,1.0,0.1499,0.1428,0.1724,0.1170
5801121004022,1.0,0.1260,0.1148,0.1316,0.1259
5801121004024,1.0,0.1255,0.1125,0.1301,0.1297
5801101004503,1.0,0.0646,0.0616,0.0700,0.0786
5801101004506,1.0,0.0673,0.0603,0.0744,0.0749
5801091006030,1.0,0.1219,0.1085,0.1337,0.1317
5801011005008,1.0,0.1724,0.1659,0.1864,0.1969
5801081001022,1.0,0.1800,0.1629,0.2077,0.1801
5801111004006,1.0,0.1207,0.0934,0.1319,0.1319
5801011004036,1.0,0.2349,0.2181,0.2464,0.2404
5801011005059,1.0,0.1386,0.1275,0.1439,0.1397
5801021002032,1.0,0.1528,0.1356,0.1656,0.1486
5801121006032,1.0,0.1511,0.1268,0.1634,0.1634
5801121007036,1.0,0.0948,0.0845,0.1026,0.0995
5801101005011,1.0,0.2277,0.1934,0.2364,0.2364
5801101005033,1.0,0.1396,0.1317,0.1423,0.1423
5801081002028,1.0,0.0805,0.0646,0.1029,0.0730
5801121002027,1.0,0.0900,0.0787,0.1045,0.0848
5801081005028,1.0,0.2270,0.1970,0.2591,0.2591
5801091004052,1.0,0.0518,0.0369,0.0545,0.0545
5801091005003,1.0,0.1122,0.0990,0.1204,0.1264
5801091005007,1.0,0.0881,0.0736,0.0911,0.0892
5801121001018,1.0,0.0336,0.0311,0.0399,0.0336
5801091007004,1.0,0.0903,0.0825,0.0954,0.0900
5801091003015,1.0,0.1965,0.1689,0.2166,0.2166
5801121007044,1.0,0.0842,0.0760,0.0898,0.0916
5801121004026,1.0,0.0903,0.0871,0.0991,0.0991
5801121009033,1.0,0.1015,0.0851,0.1112,0.1252
5801091007019,1.0,0.0813,0.0690,0.0850,0.0832
5801101002504,1.0,0.0731,0.0567,0.0809,0.0768
5801101002505,1.0,0.0669,0.0424,0.0836,0.0520
5801101005028,1.0,0.1346,0.1268,0.1480,0.1547
5801101005027,1.0,0.1359,0.1280,0.1470,0.1438
5801101001057,1.0,0.1433,0.1348,0.1601,0.1334
5801101003009,1.0,0.2349,0.2101,0.2556,0.2557
5801011002026,1.0,0.1483,0.1211,0.1653,0.1603
5801011005054,1.0,0.0853,0.0758,0.0922,0.0877
5801011005057,1.0,0.1162,0.1084,0.1211,0.1112
5801081001025,1.0,0.1191,0.0954,0.1451,0.0954
5801011003030,1.0,0.1099,0.0947,0.1158,0.1123
5801081004083,1.0,0.1492,0.1298,0.1544,0.1538
5801091004009,1.0,0.1245,0.1176,0.1412,0.1412
5801091004042,1.0,0.0888,0.0747,0.0964,0.0989
5801121006005,1.0,0.1473,0.1299,0.1634,0.1633
5801021003005,1.0,0.1109,0.1028,0.1190,0.1038
5801091004050,1.0,0.0686,0.0587,0.0723,0.0735
5801081005026,1.0,0.2532,0.2423,0.2681,0.2681
5801091004039,1.0,0.0773,0.0685,0.0832,0.0760
5801091004038,1.0,0.0827,0.0737,0.0902,0.0904
5801081005048,1.0,0.1415,0.1231,0.1496,0.1301
5801021003055,1.0,0.0606,0.0515,0.0691,0.0564
5801091004027,1.0,0.0692,0.0448,0.1007,0.0730
5801091004026,1.0,0.0624,0.0454,0.0749,0.0582
5801091004025,1.0,0.0840,0.0733,0.0915,0.0813
5801091004030,1.0,0.0732,0.0693,0.0876,0.0713
5801121003027,1.0,0.3011,0.2780,0.3087,0.3087
5801091005004,1.0,0.1077,0.0990,0.1122,0.1122
5801081003020,1.0,0.1662,0.1409,0.1820,0.1810
5801091005023,1.0,0.1105,0.1077,0.1295,0.1023
5801111002018,1.0,0.1376,0.1197,0.1523,0.1431
5801081004021,1.0,0.1517,0.1364,0.1672,0.1672
5801111001017,1.0,0.1040,0.0856,0.1189,0.1189
5801091002015,1.0,0.1104,0.0970,0.1149,0.1210
5801091007005,1.0,0.1356,0.1273,0.1495,0.1320
5801091002022,1.0,0.1361,0.1296,0.1445,0.1445
5801081004024,1.0,0.1300,0.1114,0.1406,0.1399
5801081004049,1.0,0.1422,0.1245,0.1556,0.1556
5801021002012,1.0,0.0906,0.0835,0.1034,0.0835
5801121007047,1.0,0.0996,0.0870,0.1038,0.0986
5801111001010,1.0,0.0868,0.0716,0.1025,0.1044
5801081004501,1.0,0.1216,0.1074,0.1384,0.1469
5801081005038,1.0,0.1313,0.1233,0.1572,0.1291
5801121004003,1.0,0.1394,0.1218,0.1496,0.1389
5801121007030,1.0,0.1049,0.0962,0.1226,0.1005
5801091006034,1.0,0.1604,0.1409,0.1672,0.1691
5801021002018,1.0,0.1220,0.1107,0.1324,0.1271
5801021002048,1.0,0.1020,0.0929,0.1080,0.1080
5801081004074,1.0,0.1537,0.1239,0.1579,0.1550
5801081004008,1.0,0.1519,0.1313,0.1652,0.1626
5801011005042,1.0,0.1853,0.1637,0.1901,0.1872
5801081003003,1.0,0.1032,0.0906,0.1136,0.1136
5801081004071,1.0,0.1372,0.1235,0.1589,0.1589
5801091002012,1.0,0.2127,0.1889,0.2334,0.2334
5801091006022,1.0,0.1235,0.1068,0.1264,0.1264
5801081005067,1.0,0.0803,0.0727,0.1272,0.0805
5801101002009,1.0,0.1773,0.1641,0.1945,0.1922
5801081002015,1.0,0.1099,0.0966,0.1287,0.1193
5801081004067,1.0,0.1624,0.1421,0.1930,0.1930
5801081004076,1.0,0.0893,0.0727,0.0999,0.0841
5801021003006,1.0,0.1229,0.1135,0.1345,0.1324
5801091004032,1.0,0.1021,0.0996,0.1148,0.0996
5801081003022,1.0,0.1305,0.1197,0.1501,0.1576
5801111001002,1.0,0.1720,0.1493,0.1931,0.1931
5801091001035,1.0,0.1276,0.1150,0.1352,0.1270
5801091005020,1.0,0.1143,0.0973,0.1210,0.1035
5801111001012,1.0,0.1611,0.1549,0.1872,0.1934
5801111002017,1.0,0.1687,0.1470,0.1795,0.1845
5801021001029,1.0,0.1369,0.1297,0.1564,0.1567
5801021004042,1.0,0.2127,0.1836,0.2445,0.2445
5801121004027,1.0,0.0995,0.0903,0.1032,0.1032
5801101003012,1.0,0.0977,0.0886,0.0994,0.1023
5801011005052,1.0,0.0769,0.0684,0.0860,0.0804
5801081001018,1.0,0.1022,0.0933,0.1150,0.0933
5801081002004,1.0,0.0755,0.0710,0.0780,0.0728
5801081004080,1.0,0.1624,0.1408,0.1721,0.1721
5801091004051,1.0,0.0514,0.0405,0.0585,0.0459
5801021002004,1.0,0.0947,0.0908,0.1018,0.0959
5801021001026,1.0,0.1554,0.1349,0.1785,0.1785
5801081002046,1.0,0.1111,0.1021,0.1174,0.1110
5801091001045,1.0,0.1101,0.1062,0.1260,0.0965
5801081003059,1.0,0.1213,0.1087,0.1355,0.1230
5801121007049,1.0,0.0646,0.0609,0.0670,0.0722
5801121004032,1.0,0.0694,0.0636,0.0750,0.0829
5801021005013,1.0,0.0845,0.0676,0.0904,0.0981
5801111004016,1.0,0.0744,0.0645,0.0846,0.0846
5801021004036,1.0,0.1686,0.1487,0.1810,0.1840
5801081005043,1.0,0.1879,0.1755,0.2170,0.1654
5801021004043,1.0,0.1997,0.1826,0.2124,0.2032
5801081004031,1.0,0.1892,0.1785,0.2120,0.2085
5801011002021,1.0,0.2265,0.1975,0.2416,0.2430
5801091003024,1.0,0.1210,0.1093,0.1364,0.1343
5801021004040,1.0,0.1762,0.1604,0.1911,0.1911
5801011005049,1.0,0.1162,0.1049,0.1241,0.1249
5801081002009,1.0,0.1424,0.1262,0.1533,0.1497
5801121004028,1.0,0.1000,0.0949,0.1077,0.1032
5801121009501,1.0,0.1016,0.0993,0.1087,0.1087
5801011005901,1.0,0.1025,0.0995,0.1080,0.1036
5801011005901,1.0,0.2512,0.1985,0.2775,0.2767
5801101002021,1.0,0.1008,0.0866,0.1059,0.1046
5801101002031,1.0,0.1051,0.1010,0.1205,0.1218
5801011004044,1.0,0.1979,0.1850,0.2141,0.1938
5801101005037,1.0,0.1325,0.1232,0.1431,0.1327
5801101003011,1.0,0.1005,0.0959,0.1106,0.0981
5801011005061,1.0,0.1697,0.1529,0.1803,0.1701
5801081002047,1.0,0.1352,0.1237,0.1476,0.1413
5801091005002,1.0,0.1327,0.1192,0.1412,0.1324
5801111001005,1.0,0.2071,0.1778,0.2241,0.2241
5801081004034,1.0,0.1390,0.1181,0.1466,0.1358
5801021002021,1.0,0.0936,0.0892,0.1049,0.0893
5801121006020,1.0,0.1696,0.1596,0.1855,0.1855
5801021002045,1.0,0.0868,0.0811,0.0918,0.0879
5801011005016,1.0,0.1205,0.1096,0.1271,0.1250
5801101001046,1.0,0.1562,0.1395,0.1732,0.1732
5801011005021,1.0,0.1143,0.1049,0.1186,0.1204
5801101001056,1.0,0.1952,0.1864,0.2055,0.1890
5801081001016,1.0,0.1025,0.0947,0.1276,0.1001
