NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Jose Miguel Carrera,4.0,0.1321,0.0950,0.1390,0.1390
Las Rosas,4.0,0.1264,0.1064,0.1386,0.1264
Piloto Pardo,4.0,0.1468,0.1250,0.1614,0.1468
Porvenir,4.0,0.2371,0.1987,0.2706,0.2563
Textil Viña,4.0,0.1080,0.0941,0.1153,0.1080
21 de Mayo,4.0,0.1626,0.1367,0.1810,0.1739
Barros Arana,4.0,0.1795,0.1441,0.1906,0.1804
La Granja,4.0,0.1621,0.1383,0.1776,0.1659
Las Viñas,4.0,0.1773,0.1526,0.1921,0.1855
Los Estanques,4.0,0.1574,0.1312,0.1604,0.1587
Mena,4.0,0.1624,0.1356,0.1767,0.1694
Pedro Montt,4.0,0.1516,0.1313,0.1649,0.1534
Victoria Oriente,4.0,0.1321,0.1241,0.1466,0.1383
Victoria Poniente,4.0,0.1472,0.1245,0.1712,0.1534
Villa Olimpica,4.0,0.1261,0.1081,0.1378,0.1275
Araya,4.0,0.1434,0.1164,0.1588,0.1490
Arturo Prat,4.0,0.1437,0.1166,0.1575,0.1388
Blanco,4.0,0.1572,0.1299,0.1650,0.1620
Centro,4.0,0.1370,0.1134,0.1473,0.1383
Colina de Oro,4.0,0.2501,0.1891,0.2611,0.2527
El Esfuerzo,4.0,0.1455,0.1196,0.1542,0.1470
Emparte,4.0,0.0933,0.0763,0.1078,0.1078
Esmeralda,4.0,0.1588,0.1329,0.1705,0.1588
Liceo,4.0,0.1484,0.1213,0.1603,0.1517
Poblacion Esperanza,4.0,0.1656,0.1387,0.1797,0.1718
Poblacion Ferroviaria,4.0,0.1671,0.1403,0.1774,0.1666
R. Sotomayor,4.0,0.1488,0.1268,0.1596,0.1507
San Cristobal2,4.0,0.1657,0.1465,0.1797,0.1718
Sol del Pacifico,4.0,0.1451,0.1198,0.1512,0.1481
Soublete (Francisco Bilbao),4.0,0.1533,0.1213,0.1669,0.1544
Thompson,4.0,0.1245,0.0976,0.1304,0.1250
M. Mena,4.0,0.1243,0.1042,0.1363,0.1269
Manuel Rodriguez,4.0,0.1205,0.1049,0.1356,0.1251
No Organizada,4.0,0.2059,0.1624,0.2236,0.2230
Pompeya Norte,4.0,0.1396,0.1265,0.1629,0.1396
Pompeya Sur,4.0,0.1594,0.1400,0.1769,0.1573
Valencia Alto,4.0,0.1219,0.1080,0.1341,0.1219
Costa Sol,4.0,0.0879,0.0741,0.0959,0.0815
California,4.0,0.1319,0.1157,0.1398,0.1319
Camilo Henriquez,4.0,0.1480,0.1222,0.1566,0.1531
El Bosque,4.0,0.3010,0.2267,0.3393,0.3246
El Sol,4.0,0.2621,0.2217,0.2642,0.2641
General Baquedano,4.0,0.1670,0.1413,0.1760,0.1670
Infante,4.0,0.2296,0.1910,0.2430,0.2451
Lo Gamboa,4.0,0.1271,0.1088,0.1351,0.1277
Los Espinos,4.0,0.2250,0.1818,0.2287,0.2287
Retiro,4.0,0.2203,0.1885,0.2313,0.2266
Viñas del Sol,4.0,0.2125,0.1657,0.2162,0.2162
Buenos Aires,4.0,0.1699,0.1381,0.1741,0.1715
