NOMBRE,Month,LST_mean,LST_p25,LST_p75,anio_actual
El Sol,5.0,16.565170,15.215010,18.282752,-9999.000000
General Baquedano,5.0,16.429555,15.321533,18.158753,-9999.000000
Infante,5.0,16.298214,15.028617,17.943455,-9999.000000
Lo Gamboa,5.0,17.306409,16.265687,19.372778,-9999.000000
Los Espinos,5.0,15.504532,14.059545,16.863022,-9999.000000
Retiro,5.0,15.899179,14.785693,17.599736,-9999.000000
Viñas del Sol,5.0,15.863863,14.184283,17.137440,-9999.000000
Buenos Aires,5.0,16.974927,15.727567,18.172725,-9999.000000
Casa de Valencia,5.0,16.450390,14.915482,17.512587,-9999.000000
Hevia,5.0,17.222113,16.122133,18.837160,-9999.000000
Humbolt,5.0,17.076516,15.815544,18.627239,-9999.000000
Phillips,5.0,17.341734,15.968003,18.796484,-9999.000000
Poblacion Argentina,5.0,15.449704,14.011090,16.904732,-9999.000000
Poblacion Canal Chacao,5.0,16.915735,14.915504,18.687352,-9999.000000
San Gregorio,5.0,17.669444,16.166345,19.046939,-9999.000000
Valencia Bajo,5.0,17.274121,16.187960,19.276234,-9999.000000
Villa Paso Hondo,5.0,15.110639,13.480100,16.321428,-9999.000000
Calicheros,6.0,13.235543,12.717989,13.930464,-9999.000000
Belloto 2000,6.0,14.363780,13.365340,15.401879,-9999.000000
Belloto Centro,6.0,14.043810,13.174735,15.144007,-9999.000000
Bernando Ohiggins,6.0,13.583447,13.253694,14.342923,-9999.000000
Cruz del Sur,6.0,13.874534,13.064844,14.836562,-9999.000000
82,6.0,14.326991,13.660620,15.495973,-9999.000000
Belloto Norte,6.0,12.779942,12.466772,13.522912,-9999.000000
E.E.U.U,6.0,12.709471,12.371093,13.712510,-9999.000000
Lincoyan,6.0,13.257466,12.231343,14.301483,-9999.000000
Los Colonos,6.0,12.875423,12.221716,13.609026,-9999.000000
Patricio Lynch,6.0,13.346283,12.829346,14.365886,-9999.000000
Santa Marta,6.0,13.070388,12.583992,13.927486,-9999.000000
Cantera,6.0,13.652411,13.193489,14.761677,-9999.000000
Decimo Sector,6.0,13.051145,12.323447,13.780093,-9999.000000
Estero Viejo,6.0,13.233196,12.873902,14.204570,-9999.000000
Matilde,6.0,13.524831,12.507077,14.681015,-9999.000000
San Cristobal,6.0,13.386490,12.802897,14.599964,-9999.000000
Tierras Rojas,6.0,13.447139,12.736735,14.402748,-9999.000000
